Y-WET WEATHER;HAIL,RAIN,SLEET,SNOW
G-BIKE PARTS;BRAKE,CHAIN,SADDLE,SPOKE
B-SYNONYMS FOR SELL;HAWK,MOVE,PEDDLE,VEND
P-COUNTRIES PLUS A;CHIN,CUB,MALT,TONG
Y-MARSUPIALS;KANGAROO,KOALA,WALLABY,WOMBAT
G-CHOCOLATE BARS;CHUNKY,CRUNCH,MARS,MOUNDS
B-SLANG FOR MONEY;CHEDDAR,DOUGH,PAPER,STACKS
P-___ TRUTH;NAKED,THE,SOME,WHOLE
Y-US COINS;DIME,NICKEL,PENNY,QUARTER
G-METAL ELEMENTS;IRON,LEAD,TIN,ZINC
B-LUCKY CHARMS;CLOVER,HORSESHOE,MOON,RAINBOW
P-___ AND ___;AGAIN,HALF,NECK,SO
Y-PLEASANT SMELLS;AROMA,BOUQUET,FRAGRANCE,SCENT
G-MUSIC GENRES;BLUES,COUNTRY,FUNK,SOUL
B-ROCK PAPER SCISSORS;PAPER,ROCK,SCISSORS,SHOOT
P-MALE ANIMALS;BOAR,BUCK,BULL,JACK
Y-BOATS;FERRY,JUNK,TUG,YACHT
G-SANDWICHES;CLUB,CUBAN,MELT,SUB
B-CUTS OF BEEF;FLANK,LOIN,ROUND,SHANK
P-NICKNAMES THAT ARE VERBS;CHUCK,JOSH,ROB,SUE
Y-SHOE PARTS;HEEL,LACE,SOLE,TONGUE
G-BOARD GAMES;CLUE,RISK,SORRY,TROUBLE
B-FICTIONAL SPIES;BOND,HUNT,RYAN,SMART
P-RUBBER ___;BAND,CEMENT,DUCKIE,SOUL
Y-FRUITS THAT ARE VEGETABLES;CUCUMBER,EGGPLANT,PEPPER,TOMATO
G-3D SHAPES;CONE,CUBE,PYRAMID,SPHERE
B-APPLE PRODUCTS;MAC,PAD,PHONE,POD
P-WORDS WITH MULTIPLE PRONUNCIATIONS;JOB,LIMA,MOBILE,POLISH
Y-NFL TEAMS;BRONCO,COWBOY,PACKER,RAVEN
G-PASTA SHAPES;BOWTIE,ELBOW,SHELL,SPIRAL
B-JOINTS;HIP,KNEE,SHOULDER,WRIST
P-MOVIES WITH EXCLAMATION;AIRPLANE,MOTHER,OKLAHOMA,THEM
Y-WINGED INSECTS;FLY,GNAT,MOTH,WASP
G-ARITHMETIC OPERATIONS;ADD,DIVIDE,MULTIPLY,SUBTRACT
B-FISH;SKATE,SOLE,TANG,TETRA
P-___ CAT;ALLEY,COOL,COPY,LAP
Y-SEVEN DWARFS;BASHFUL,DOC,GRUMPY,HAPPY
G-FILE EXTENSIONS;GIF,PDF,TIFF,ZIP
B-FLIGHTLESS BIRDS;EMU,KIWI,OSTRICH,PENGUIN
P-TROPICAL FRUITS;BANANA,COCONUT,MANGO,PINEAPPLE
Y-HATS;BERET,BOWLER,FEDORA,FEZ
G-ORGANS;HEART,KIDNEY,LIVER,LUNG
B-PARTS OF A BOOK;COVER,JACKET,PAGE,SPINE
P-JACK ___;ASS,KNIFE,POT,RABBIT
Y-EUROPEAN COUNTRIES;DENMARK,GREECE,POLAND,PORTUGAL
G-SYNONYMS FOR IMITATE;COPY,ECHO,MIMIC,PARROT
B-TOMS;CRUISE,HOLLAND,PETTY,WAITS
P-ROMAN NUMERAL WORDS;DILL,LIVID,MILD,MIX
Y-DESSERTS;CHEESECAKE,FLAN,MOUSSE,TIRAMISU
G-MILD OATHS;DARN,FUDGE,HECK,SHOOT
B-ANIMALS WITH TUSKS;ELEPHANT,HIPPO,NARWHAL,WARTHOG
P-MUSTACHES;HANDLEBAR,HORSESHOE,PENCIL,WALRUS
Y-CANDY BARS;BOUNTY,CRUNCH,HEATH,MILKY WAY
G-VIDEO GAME CONSOLES;DREAMCAST,GENESIS,SWITCH,WII
B-EAR PARTS;ANVIL,COCHLEA,HAMMER,STIRRUP
P-BANDS MINUS NUMBERS;BLINK,MAROON,SUM,U
Y-60S BAND MEMBERS;BEACH BOY,BEATLE,BYRD,MONKEE
G-DANCE FADS;DOUGIE,MACARENA,MASHED POTATO,TWIST
B-MAGAZINES;FORTUNE,ROLLING STONE,VOGUE,WIRED
P-THINGS WITH LINKS;CHAIN,GOLF COURSE,SAUSAGE,WEBSITE
Y-DOG BREEDS;BOXER,DALMATIAN,HUSKY,POODLE
G-ANIMAL NOSES;BEAK,MUZZLE,SNOUT,TRUNK
B-TRAFFIC SIGNS;DETOUR,SLOW,STOP,YIELD
P-SOUND ___;ASLEEP,BARRIER,BITE,WAVE
Y-MUSIC GENRES;JAZZ,POP,PUNK,RAP
G-WEB BROWSERS;CHROME,EDGE,OPERA,SAFARI
B-LITTLE WOMEN;AMY,BETH,JO,MEG
P-LIL RAPPERS;BABY,JON,KIM,WAYNE
Y-GRAINS;BARLEY,OAT,RYE,SPELT
G-ROYAL TITLES;BARON,EARL,KING,PRINCE
B-UNIVERSITIES;BROWN,DUKE,HOWARD,RICE
P-OSCAR DIRECTORS;BONG,FORD,LEE,STONE
Y-TYPES OF KNOTS;BOWLINE,GRANNY,SHEET,SQUARE
G-CARD GAMES;BRIDGE,EUCHRE,HEARTS,SPADES
B-SHADES OF BLUE;AZURE,COBALT,NAVY,TEAL
P-WORDS WITH DOUBLE LETTERS;BOOK,COOL,FEED,MOON
Y-MEASURING TOOLS;RULER,SCALE,TAPE,THERMOMETER
G-SCIENCE FIELDS;BIOLOGY,CHEMISTRY,PHYSICS,ZOOLOGY
B-HOLIDAYS;EASTER,HALLOWEEN,THANKSGIVING,CHRISTMAS
P-WORDS WITH SILENT LETTERS;GNOME,KNIFE,LAMB,WRIST
Y-ABDOMINAL AREA;CORE,MIDSECTION,TORSO,TRUNK
G-REPLACEMENT;BACKUP,COVER,RELIEF,SUBSTITUTE
B-PARK STAPLES;BENCH,PIGEON,STATUE,TREE
P-BLACKJACK TERMS;BUST,HIT,SPLIT,STAND
Y-FITTING;FAIR,JUST,PROPER,RIGHT
G-ACHIEVE VICTORY OVER;BEAT,BEST,TAKE,WORST
B-PARTS OF AN ELECTRIC GUITAR;FRET,PEG,PICKUP,STRING
P-PHONETIC ELEMENTS OF SPEECH;INTONATION,LOUDNESS,RHYTHM,STRESS
Y-INUNDATION;AVALANCHE,OUTPOURING,TIDAL WAVE,TORRENT
G-MAIN COMPUTER FOLDERS;DESKTOP,DOCUMENTS,DOWNLOADS,MUSIC
B-WOODWORKING TOOLS;DRILLS,FILES,ROUTERS,SAWS
P-RHYMES FOR NYT GAMES;CONFECTIONS,GRANDS,HURDLE,SWELLING SEA
Y-VERBS EXPRESSING POSSIBILITY;CAN,COULD,MAY,MIGHT
G-WOMENS NICKNAMES;DEB,JAN,KAT,SUE
B-FINANCIAL ABBREVIATIONS;APR,CFO,IRA,SEC
P-BACKWARDS ANIMALS;FLOW,GOD,MAR,TAB
Y-SMALL TIME;MICKEY MOUSE,RINKY-DINK,TRIVIAL,TWO-BIT
G-THINGS THAT ARE PINK;BARBIE DREAMHOUSE,CALAMINE LOTION,CHERRY BLOSSOM,FLAMINGO
B-THINGS YOU CAN SCRATCH;BUG BITE,LOTTERY TICKET,VINYL RECORD,YOUR HEAD
P-STARTING WITH OPTIMISTIC WORDS;GLAD-HAND,HAPPY MEAL,MERRY-GO-ROUND,SUNNY-SIDE-UP
Y-SMALL KITCHEN APPLIANCES;BLENDER,MICROWAVE,RICE COOKER,TOASTER
G-CAR CENTER CONSOLE FEATURES;AIR CONDITIONER,CUP HOLDER,RADIO,SHIFTER
B-AIRPORT SECURITY ITEMS;BIN,CARRY-ON,METAL DETECTOR,X-RAY
P-ENDING IN COLORS;INFRARED,MARIGOLD,STINGRAY,ULTRAVIOLET
Y-LENIENT;EASY,LAX,LOOSE,SLACK
G-ANIMAL HOMES;BURROW,DEN,LODGE,WARREN
B-OLIVER STONE MOVIES;JFK,NIXON,PLATOON,WALL STREET
P-SECOND WORDS IN ABBA TITLES;GIMME,MIA,QUEEN,TROUPER
Y-LITTLE BIT;DAB,DROP,SPLASH,TOUCH
G-SAILOR;SALTY DOG,SKIPPER,SWAB,TAR
B-TROPICAL PRODUCE;BITTER MELON,CHAYOTE,DURIAN,SOURSOP
P-___ DEAL;BIG,PLEA,RAW,SWEETHEART
Y-THINGS WORN ON LAPELS;AWARENESS RIBBON,BOUTONNIERE,LAPEL PIN,LAVALIER
G-COCKTAILS;COSMOPOLITAN,GREYHOUND,SCREWDRIVER,SEA BREEZE
B-PIXAR PROTAGONISTS;CLOWNFISH,GRUMPY OLD MAN,RACECAR,TALKING DOLL
P-STARTING WITH EAT SYNONYMS;BOLT CUTTER,CHOW MEIN,SCARF RING,WOLF EEL
Y-ADHERE;FIX,PASTE,PLASTER,STICK
G-GRAZE;BRUSH,KISS,SKIM,STROKE
B-PARTS OF A TOOTH;CROWN,ENAMEL,PULP,ROOT
P-SOUND LIKE TWO LETTERS;ANY,ARTY,DECAY,ESSAY
Y-STOCKY;HUSKY,SOLID,SQUAT,THICK
G-STEER;DIRECT,GUIDE,LEAD,SHEPHERD
B-POE STORY WORDS;CASK,FALL,MASQUE,PIT
P-ORGAN PLUS LETTER;COLONY,HEART,LUNGE,SKINK
Y-FUNNY PERSON;CLOWN,JOKER,LAUGH,RIOT
G-KINDS OF TOMATOES;CHERRY,GRAPE,PLUM,ROMA
B-BEST ACTRESS WINNERS;BERRY,MADISON,STONE,SWANK
P-ENDING IN LOCATION WORDS;COMMONPLACE,NEEDLEPOINT,PARASITE,SUNSPOT
Y-YOU BET;ABSOLUTELY,OKEY-DOKE,OF COURSE,SURE THING
G-FORBIDDEN;OFF-LIMITS,PROSCRIBED,TABOO,VERBOTEN
B-BASKETBALL SHOTS;ALLEY-OOP,FADEAWAY,FINGER ROLL,SLAM DUNK
P-STARTING WITH SCRAM SYNONYMS;GO-GETTER,LEAVENING,SCATTERGORIES,SHOO-IN
Y-TECHNIQUE;APPROACH,METHOD,PHILOSOPHY,SCHOOL
G-RUN OF THE MILL;BANAL,EVERYDAY,HUMDRUM,PEDESTRIAN
B-STRIPY THINGS;BARCODE,IBM LOGO,RUGBY SHIRT,ZEBRA
P-MONOPOLY BOARD WORDS;AVENUE,PARKING,RAILROAD,TAX
Y-ENHANCE TASTE;FLAVOR,SALT,SEASON,SPICE
G-PUNCTUATION MARKS;COLON,DASH,PERIOD,SLASH
B-KINDS OF ACTORS;CHARACTER,FILM,METHOD,STAGE
P-___ ZONE;BUFFER,COMFORT,TIME,TWILIGHT
Y-EVALUATE;GRADE,JUDGE,RATE,REVIEW
G-RADIO OPTIONS;BAND,CHANNEL,FREQUENCY,STATION
B-ACTION FILM TYPES;BUDDY,DISASTER,MARTIAL ARTS,SUPERHERO
P-90S ACTION FILMS;ARMAGEDDON,HARD BOILED,HEAT,SPEED
Y-ATTIRE;DUDS,FIT,GETUP,THREADS
G-FOAMY THINGS;BEER,FIRE EXTINGUISHER,SEA,SHAVING CREAM
B-THINGS THAT USE FILTERS;AIR PURIFIER,CIGARETTE,COFFEE MAKER,INSTAGRAM
P-___ OFFICE;BOX,MICROSOFT,OVAL,POST
Y-SPORTS;GOLF,JUDO,POLO,SUMO
G-DOOFUS;BOZO,DODO,DOPE,YO-YO
B-ACRONYMS;BOGO,FOMO,GOAT,YOLO
P-SPANISH WORDS;COMO,LOCO,POCO,ROJO
Y-MAKEUP;BLUSH,FOUNDATION,HIGHLIGHTER,POWDER
G-BREADTH;EXTENT,RANGE,SCALE,SCOPE
B-OBJECTS FOR SUPPORT;BASE,HOLDER,REST,STAND
P-IPHONE ICONS;COMPASS,ENVELOPE,MUSIC NOTES,SPEECH BUBBLE
Y-PERCUSSION INSTRUMENTS;BELL,DRUM,RATTLE,TRIANGLE
G-SATISFY DEBTS;CLEAR,PAY,SETTLE,SQUARE
B-CAESAR QUOTE WORDS;CAME,CONQUERED,I,SAW
P-LATIN PREPOSITIONS;AB,PRO,SINE,SUB
Y-GROOMING ITEMS;BRUSH,MIRROR,NAIL FILE,TWEEZERS
G-PACKED;COMPACT,DENSE,THICK,TIGHT
B-PONDER;DELIBERATE,MUSE,NOODLE,REFLECT
P-STARTING WITH BIRD HOMOPHONES;CRANIUM,CRONUT,LUNAR,PUFNSTUF
Y-BLOCK AN OPENING;CLOSE,PLUG,SEAL,STOP
G-PUT FORWARD;DELIVER,GIVE,PRESENT,PRONOUNCE
B-KINDS OF LANGUAGE;BODY,PROGRAMMING,SIGN,SPOKEN
P-WORDS AFTER I;BEAM,CHING,ROBOT,SPY
Y-TEXTILE PATTERNS;ANIMAL PRINT,HERRINGBONE,HOUNDSTOOTH,POLKA DOT
G-GREEN CONDIMENTS;CHIMICHURRI,PESTO,RELISH,SALSA VERDE
B-THINGS WITH HOLES;BAGEL,HULA HOOP,INNER TUBE,WASHER
P-THINGS THAT ARE PURPLE;BARNEY THE DINOSAUR,EGGPLANT,PEOPLE EATER,SWING STATE
Y-COST;AMOUNT,FIGURE,PRICE,VALUE
G-UNLOCK METHODS;FACE,FINGERPRINT,PASSWORD,PIN
B-PARTS OF A SHIP;AFT,DECK,FORE,MAST
P-CUPID FEATURES;ARROW,BOW,DIAPER,WINGS
Y-MAKE A HASH OF;BLOW,BOTCH,BUTCHER,SPOIL
G-CLUE WEAPONS;CANDLESTICK,KNIFE,ROPE,WRENCH
B-SOUL SINGERS;BAKER,FRANKLIN,FLACK,KNIGHT
P-RAIN ___;BOW,COAT,FOREST,MAKER
Y-STEER;DIRECT,DRIVE,GUIDE,PILOT
G-THIN LAYER;COAT,FILM,LEAF,SHEET
B-FILE EXTENSIONS;DOC,MID,TIFF,ZIP
P-___ GUITAR;AIR,ELECTRIC,RHYTHM,SLIDE
Y-THINGS THAT ARE RED;CLOWN NOSE,FIRE ENGINE,MARASCHINO CHERRY,STOP SIGN
G-THINGS FILLED WITH AIR;BALLOON ANIMAL,BOUNCY CASTLE,WATER WINGS,WHOOPEE CUSHION
B-THINGS WITH MANY PIECES;JIGSAW PUZZLE,LEGO SET,LITE-BRITE,PICK-UP STICKS
P-ENDING WITH ANIMALS;DARK HORSE,FUNKY CHICKEN,JUMBO SHRIMP,SEA MONKEY
Y-GOODS TO TRANSPORT;CARGO,FREIGHT,HAUL,LOAD
G-LIGHT BROWN SHADES;CAMEL,FAWN,KHAKI,TAN
B-SIGNS OF EXERTION;CRAMP,PANT,REDDEN,SWEAT
P-ZODIAC STARTS;AQUA,CAPRI,GEM,SAG
Y-TAKE TO COURT;CHARGE,FILE,INDICT,SUE
G-BLACK;INKY,JET,PITCH,RAVEN
B-FAMOUS DUO SECOND;CHER,CLYDE,HARDY,TELLER
P-CARTOON RODENTS FIRST;CHIP,ITCHY,PINKY,ROCKY
Y-GOLDILOCKS;CHAIR,BEAR,PORRIDGE,BED
G-CINDERELLA;WAND,PUMPKIN,MOUSE,SLIPPER
B-POPEYE;PIPE,ANCHOR,SPINACH,CAP
P-MS PAC-MAN;GHOST,PELLETS,BOW,CHERRIES
Y-TERMS OF ENDEARMENT;ANGEL,LOVE,PUMPKIN,SUGAR
G-FICTION GENRES;FANTASY,HORROR,MYSTERY,ROMANCE
B-COLLECTIVE NOUNS FOR BIRDS;CHARM,GAGGLE,MURDER,PARLIAMENT
P-PEOPLE WHOSE FIRST NAMES ARE US CITIES;BLOOM,BUTLER,GUTHRIE,LEVY
Y-FORTITUDE;BACKBONE,COURAGE,HEART,SPIRIT
G-CHANNEL;MEDIUM,OUTLET,PLATFORM,VENUE
B-WORDS STARTING WITH THE SAY SOUND;SACRUM,SEITAN,SEYCHELLES,SEANCE
P-THINGS FEATURING LETTERS A THROUGH Z;ABECEDARIUM,COMPUTER KEYBOARD,OUIJA BOARD,SCRABBLE
Y-BANALITY;CHESTNUT,CLICHE,PLATITUDE,TROPE
G-IN THE KNOW;AWARE,HIP,SAVVY,WISE
B-REMOTE CONTROL BUTTONS;BACK,HOME,MENU,SELECT
P-ONE NAMED SINGER PLUS STARTING LETTER;GUSHER,KENYA,OCHER,PELVIS
Y-EMANATE;BRANCH,FAN,RADIATE,SPREAD
G-IN THE SLIGHTEST;JUST,MERELY,ONLY,SIMPLY
B-COCKTAIL GARNISHES;CHERRY,MINT,OLIVE,TWIST
P-___ FOUR;CONNECT,FAB,FANTASTIC,PETIT
Y-KINDS OF INSTRUMENTS;BRASS,PERCUSSION,STRING,WIND
G-WORDS IN A MUHAMMAD ALI QUOTE;BEE,BUTTERFLY,FLOAT,STING
B-KINDS OF CONTESTS;BEAUTY,POPULARITY,STARING,TALENT
P-WORDS WITH DIMINUTIVE SUFFIXES;DOGGY,DROPLET,KITCHENETTE,STARLING
Y-SWINDLE;FLEECE,HOSE,HUSTLE,SHAFT
G-DIGITAL WATCH FEATURES;ALARM,DATE,LIGHT,STOPWATCH
B-CONFER;ACCORD,AWARD,GRANT,VEST
P-BEST ACTOR WINNING BIOPICS;CAPOTE,LINCOLN,MILK,RAY
Y-BEST YEARS;HEYDAY,PINNACLE,PRIME,ZENITH
G-THINGS YOU CAN DO TO TEXT;BOLD,HIGHLIGHT,STRIKETHROUGH,UNDERLINE
B-THINGS KNOWN FOR BEING COLORFUL;KALEIDOSCOPE,PEACOCK,RAINBOW,SUNSET
P-ENDING IN ACCESSORIES;BAYWATCH,COOTIE,HERRING,KINGPIN
Y-PEACHY;DANDY,DUCKY,FINE,SWELL
G-WINNINGS;KITTY,POT,PRIZE,PURSE
B-PIECES OF OLYMPIC SPORTS EQUIPMENT;BALL,BIRDIE,PUCK,STONE
P-___ BAG;DOGGY,GO,MIXED,SWAG
Y-UTILITIES;ELECTRIC,GAS,TELEPHONE,WATER
G-ADAPT TO FIT ONES NEEDS;FASHION,MOLD,SHAPE,TAILOR
B-KINDS OF ANTS;ARMY,CARPENTER,FIRE,PHARAOH
P-COPY___;CAT,PASTA,RIGHT,WRITER
Y-PLAYING CARDS;ACES,JACKS,KINGS,QUEENS
G-TAKES ON;ADDRESSES,DOES,HANDLES,TACKLES
B-NBA TEAMS;BUCKS,BULLS,HORNETS,SPURS
P-THINGS YOU CAN CONTROL WITH REMOTES;DRONES,GARAGE DOORS,TELEVISIONS,WII
Y-AFFLICTION;BUGBEAR,COMPLEX,DEMON,HANGUP
G-REPRESENTED BY CONSTELLATIONS;BIG BEAR,CENTAUR,HUNTER,LYRE
B-PERIODIC TABLE SYMBOLS;AS,BE,I,K
P-___CORN;A,CAPRI,POP,UNI
Y-TOPPLE;FALL,SPILL,TUMBLE,WIPEOUT
G-PARTS OF A BOOK;COVER,JACKET,LEAVES,SPINE
B-LOSE IT WITH OUT;BUG,FLIP,FREAK,WIG
P-CHOCOLATE BARS PLUS A LETTER;CRUNCHY,DOVER,MARSH,SKORT
Y-GLIDE;BREEZE,COAST,FLOAT,SKATE
G-WORDS BEFORE BALL IN SPORTS;DODGE,HAND,PICKLE,RACQUET
B-PROLIFIC ACTORS;BACON,CAGE,CRUISE,FORD
P-HOMOPHONES OF SYNONYMS FOR VEND;CELL,HOCK,PEDAL,TRAYED
Y-USED DURING A PRESENTATION;CLICKER,LASER POINTER,PROJECTOR,SLIDES
G-ITEMS IN A SOUVENIR SHOP;FIGURINE,KEY RING,MAGNET,POSTCARD
B-FOLKTALE CHARACTERS;CHICKEN LITTLE,JACK,THUMBELINA,TOM THUMB
P-WEATHER TERMS;BEAUFORT SCALE,DEWPOINT,HEAT INDEX,WIND CHILL
Y-FRUIT DESSERTS;COBBLER,CRISP,CRUMBLE,TART
G-CRABBY;CROSS,PRICKLY,SORE,SOUR
B-FISH;CHAR,FLUKE,PIKE,SKATE
P-BANANA ___;BOAT,BREAD,SLUG,SPLIT
Y-TYPES OF POOLS;INFINITY,KIDDIE,KIDNEY,OLYMPIC
G-IN THE NATO PHONETIC ALPHABET;BRAVO,DELTA,GOLF,LIMA
B-FORD MODELS;BRONCO,FIESTA,MUSTANG,PINTO
P-___ SEAL;ELEPHANT,GREAT,NAVY,VACUUM
Y-CAPTIVATE;ABSORB,ENGAGE,HOLD,OCCUPY
G-SUMMARY;BRIEF,DIGEST,OUTLINE,REVIEW
B-HALT;CHECK,CURB,STAUNCH,STEM
P-ANIMALS MINUS STARTING LETTER;ANTHER,EASEL,HARK,LAMA
Y-METAPHORS FOR POTENTIALLY VOLATILE SITUATIONS;CAN OF WORMS,HORNETS NEST,MINEFIELD,PANDORAS BOX
G-BAR EVENTS;HAPPY HOUR,KARAOKE,LIVE MUSIC,TRIVIA NIGHT
B-WORDS AFTER A WELCOME DEPARTURE;ABOUT TIME,FINALLY,GOOD RIDDANCE,SAYONARA
P-ENDING WITH SYNONYMS FOR SWINDLE;AMERICAN HUSTLE,COMIC CON,GOLDEN FLEECE,LUCKY STIFF
Y-FOR ALL TIME;ETERNAL,EVERLASTING,FOREVER,PERMANENT
G-ESTABLISHES;BEGINS,INSTITUTES,LAUNCHES,PIONEERS
B-BIRDS;KITE,ROBIN,SWALLOW,SWIFT
P-HAPPY ___;DAYS,ENDING,RETURNS,TRAILS
Y-EQUIPMENT;GEAR,KIT,STUFF,TACKLE
G-DRESS IN;DON,PUT ON,SPORT,WEAR
B-STREET SUFFIXES;ALLEY,COURT,LANE,WAY
P-NICKNAMES THAT HAVE OTHER MEANINGS;BILL,BOB,PAT,TOM
Y-SIGNIFICANT;BIG,IMPORTANT,MAJOR,SERIOUS
G-ONE IN A SEPTET;CONTINENT,DEADLY SIN,SISTER,WONDER
B-TAROT CARDS WITH THE;DEVIL,LOVERS,MAGICIAN,STAR
P-___ EYE;EVIL,MAGIC,NAKED,THIRD
Y-FANTASY;INVENTION,FANCY,FICTION,FIGMENT
G-KINDS OF ROCKS;FLINT,LIMESTONE,MARBLE,SLATE
B-NEWS ARTICLE FEATURES;CAPTION,DATELINE,LEDE,PHOTO
